house_title,price,more_details_link,location
5 Bed House with En Suite in Karen,"KSh 150,000,000",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-3783445,Karen
5 Bed House with En Suite in Kitisuru,"KSh 350,000,000",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-kitisuru-3779442,"Kitisuru, Westlands"
4 Bed House with En Suite at Mombasa,"KSh 11,000,000",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-mombasa-cbd-3764346,"mombasa, Mombasa CBD, Mombasa Island"
5 Bed Townhouse with En Suite in Lavington,"KSh 80,000,000",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3790811,"Lavington Nairobi, Lavington"
3 Bed Townhouse with Staff Quarters in Langata,"KSh 20,500,000",https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-langata-3790808,Langata
5 Bed House with En Suite at Owashika Road,"KSh 125,000,000",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-lavington-3790805,"00502, Owashika road, Lavington"
5 Bed Townhouse with En Suite in Kitisuru,"KSh 290,000,000",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-kitisuru-3770582,"Kitisuru, Westlands"
5 Bed Townhouse with En Suite in Lavington,"KSh 80,000,000",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3790782,Lavington
4 Bed Townhouse with En Suite in Runda,"KSh 110,000,000",https://www.buyrentkenya.com/listings/furnished-4-bedroom-townhouse-for-sale-runda-3790781,"Runda, Westlands"
4 Bed Villa with En Suite in Runda,"KSh 120,000,000",https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-runda-3790779,"Runda, Westlands"
5 Bed Townhouse with En Suite at Lavington Green,"KSh 60,000,000",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3790778,"Lavington, Lavington green"
3 Bed House with En Suite in Ongata Rongai,"KSh 7,000,000",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-ongata-rongai-3790773,Ongata Rongai
5 Bed Townhouse with En Suite in Lavington,"KSh 105,000,000",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3788955,Lavington
4 Bed Villa with En Suite in Karen,"KSh 98,000,000",https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-karen-3788961,Karen
